source_pdf,package_dir,kind,item,ok,layout_similarity,draw_length_m,segments_total,bounds,nc,gcode,preview_pdf,preview_svg,notes
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack,toe_handwriting,page_01,True,0.931096,9.401,15139,"0.000..180.000 x, -288.665..-21.314 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_01.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_01.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_01.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_01.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.291892
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack,toe_handwriting,page_02,True,0.974768,3.678,5203,"1.522..178.501 x, -294.968..-15.090 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_02.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_02.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_02.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_02.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.310333
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack,toe_handwriting,page_03,True,0.97587,4.117,6108,"0.077..180.000 x, -248.317..-61.773 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_03.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_03.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_03.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_03.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.309611
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack,toe_handwriting,page_04,True,0.961207,6.626,11366,"4.143..175.857 x, -295.000..-15.000 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_04.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_04.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_04.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_04.svg,font=Marck Script; variant=raster_safe; contours=always; page_override=yes; fallback=raster_rewrite_handdraw; body_font=Marck Script; formula_font=Times New Roman; variant=raster_safe; iou=0.349827
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack,toe_handwriting,page_05,True,0.980123,5.807,7654,"0.000..180.000 x, -294.229..-15.876 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_05.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_05.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_05.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_05.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.325825
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack,toe_handwriting,page_06,True,0.945546,6.782,11567,"0.000..180.000 x, -254.391..-55.609 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_06.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_06.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_06.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_06.svg,font=Marck Script; variant=raster_safe; contours=always; page_override=yes; fallback=raster_rewrite_handdraw; body_font=Marck Script; formula_font=Times New Roman; variant=raster_safe; iou=0.370809
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack,toe_handwriting,page_07,True,0.949831,9.492,19955,"0.000..180.000 x, -286.788..-23.212 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_07.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_07.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_07.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_07.svg,font=Marck Script; variant=raster_safe; contours=always; page_override=yes; fallback=raster_rewrite_handdraw; body_font=Marck Script; formula_font=Times New Roman; variant=raster_safe; iou=0.402988
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack,toe_handwriting,page_08,True,0.935586,5.124,5483,"0.000..179.925 x, -256.262..-53.756 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_08.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_08.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_08.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_08.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.312534
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack,toe_handwriting,page_09,True,0.968978,10.797,15746,"0.000..180.000 x, -286.941..-23.059 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_09.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_09.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_09.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_09.svg,font=Marck Script; variant=raster_safe; contours=always; page_override=yes; fallback=raster_rewrite_handdraw; body_font=Marck Script; formula_font=Times New Roman; variant=raster_safe; iou=0.235690
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack,toe_handwriting,page_10,True,0.982421,4.591,5398,"0.000..180.000 x, -285.074..-24.926 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_10.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_10.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_10.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_10.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.378471
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack,toe_handwriting,page_11,True,0.943808,2.644,4560,"0.000..180.000 x, -185.549..-124.451 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_11.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_11.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_11.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_11.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.303695
