source_pdf,package_dir,kind,item,ok,layout_similarity,draw_length_m,segments_total,bounds,nc,gcode,preview_pdf,preview_svg,notes
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_01,True,0.964505,8.309,12766,"0.000..180.000 x, -288.456..-21.646 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_01.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_01.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_01.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_01.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.371119; source_strategy=font_first_text_rich; primary_font=Marck Script; selected_font=Marck Script; selected_variant=always; selected_contours=always; font_first_preferred=true; fallback_threshold=0.920; selection=base
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_02,True,0.978791,4.446,7494,"0.182..179.875 x, -294.990..-15.055 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_02.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_02.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_02.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_02.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.440757; source_strategy=graph_lineart; primary_font=Marck Script; selected_font=Marck Script; selected_variant=always; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=base
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_03,True,0.984482,4.03,5222,"0.185..179.887 x, -294.520..-15.442 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_03.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_03.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_03.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_03.svg,font=Marck Script; variant=raster_safe; contours=always; page_override=yes; fallback=raster_rewrite_handdraw; body_font=Marck Script; formula_font=Times New Roman; table_vector_overlay=enabled; variant=raster_safe; iou=0.563212; source_strategy=image_heavy; primary_font=Marck Script; selected_font=Marck Script; selected_variant=raster_safe; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=override; reason=image_heavy_fallback
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_04,True,0.990458,3.892,6366,"0.086..180.000 x, -284.180..-25.820 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_04.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_04.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_04.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_04.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.554340; source_strategy=formula_heavy; primary_font=Marck Script; selected_font=Marck Script; selected_variant=always; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=base
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_05,True,0.978913,4.274,6629,"0.000..179.932 x, -268.076..-41.947 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_05.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_05.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_05.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_05.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.479661; source_strategy=image_heavy; primary_font=Marck Script; selected_font=Marck Script; selected_variant=always; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=base
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_06,True,0.973676,5.847,9838,"0.000..180.000 x, -292.039..-17.961 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_06.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_06.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_06.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_06.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.465470; source_strategy=graph_lineart; primary_font=Marck Script; selected_font=Marck Script; selected_variant=always; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=base
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_07,True,0.985222,4.127,4324,"3.311..176.686 x, -295.000..-15.000 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_07.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_07.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_07.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_07.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.563861; source_strategy=image_heavy; primary_font=Marck Script; selected_font=Marck Script; selected_variant=always; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=base
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_08,True,0.981637,4.681,6636,"0.000..180.000 x, -294.347..-15.682 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_08.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_08.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_08.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_08.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.542121; source_strategy=image_heavy; primary_font=Marck Script; selected_font=Marck Script; selected_variant=always; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=base
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_09,True,0.986634,2.915,3814,"0.000..179.943 x, -256.617..-53.338 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_09.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_09.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_09.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_09.svg,font=Marck Script; variant=raster_safe; contours=always; page_override=yes; fallback=raster_rewrite_handdraw; body_font=Marck Script; formula_font=Times New Roman; table_vector_overlay=enabled; variant=raster_safe; iou=0.534633; source_strategy=image_heavy; primary_font=Marck Script; selected_font=Marck Script; selected_variant=raster_safe; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=override; reason=image_heavy_fallback
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_10,True,0.959156,1.766,3097,"0.000..179.910 x, -188.275..-121.671 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_10.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_10.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_10.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_10.svg,font=Marck Script; variant=raster_safe; contours=always; page_override=yes; fallback=raster_rewrite_handdraw; body_font=Marck Script; formula_font=Times New Roman; table_vector_overlay=enabled; variant=raster_safe; iou=0.382128; source_strategy=image_heavy; primary_font=Marck Script; selected_font=Marck Script; selected_variant=raster_safe; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=override; reason=image_heavy_fallback
