source_pdf,package_dir,kind,item,ok,layout_similarity,selected_variant,source_fidelity_score,fragmentation_score,draw_length_m,segments_total,pen_down_strokes,tiny_strokes_lt_08_mm,point_like_strokes,bounds,nc,gcode,preview_pdf,preview_svg,notes
C:\plotter_pdf\Начерт\4 варинт\_generated_pdf\Задача 4.pdf,C:\plotter_pdf\Начерт\4 варинт\Задача 4_pack,drawing,page_01,True,0.974793,a4_hybrid_frame,0.935801,0.977214,7.12,5562,668,59,4,"0.000..180.000 x, -285.000..-5.000 y",C:\plotter_pdf\Начерт\4 варинт\Задача 4_pack\pages\page_01.nc,C:\plotter_pdf\Начерт\4 варинт\Задача 4_pack\pages\page_01.gcode,C:\plotter_pdf\Начерт\4 варинт\Задача 4_pack\pages\page_01.pdf,C:\plotter_pdf\Начерт\4 варинт\Задача 4_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.202145; source_crop_corr=0.136710; detail_scale=1.0; frame_scale_x=0.9672; frame_scale_y=0.9787; header_scale_x=0.9672; header_scale_y=0.9787; header_content_paths=43; header_text_paths=0; header_thumb_target_w=38.25; header_text_scale=0.9672; detail_bbox=144.08x199.14 mm; condition_images_recovered=0; point_boxes_replaced=0; title_block_text_lines=0; title_block_text_rendered=0; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Начерт\4 варинт\_generated_pdf\Задача 5.pdf,C:\plotter_pdf\Начерт\4 варинт\Задача 5_pack,drawing,page_01,True,0.981153,a4_hybrid_frame,0.941907,0.985807,4.509,4168,347,31,17,"0.000..180.000 x, -285.000..-5.000 y",C:\plotter_pdf\Начерт\4 варинт\Задача 5_pack\pages\page_01.nc,C:\plotter_pdf\Начерт\4 варинт\Задача 5_pack\pages\page_01.gcode,C:\plotter_pdf\Начерт\4 варинт\Задача 5_pack\pages\page_01.pdf,C:\plotter_pdf\Начерт\4 варинт\Задача 5_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.151701; source_crop_corr=0.095825; detail_scale=1.0; frame_scale_x=0.9672; frame_scale_y=0.9787; header_scale_x=0.9672; header_scale_y=0.9787; header_content_paths=26; header_text_paths=0; header_thumb_target_w=38.25; header_text_scale=0.9672; detail_bbox=172.24x213.13 mm; condition_images_recovered=0; point_boxes_replaced=0; title_block_text_lines=0; title_block_text_rendered=0; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Начерт\4 варинт\_generated_pdf\Задача 6.pdf,C:\plotter_pdf\Начерт\4 варинт\Задача 6_pack,drawing,page_01,True,0.976612,a4_hybrid_frame,0.937548,0.984362,6.466,4905,493,27,4,"0.000..180.000 x, -285.000..-5.000 y",C:\plotter_pdf\Начерт\4 варинт\Задача 6_pack\pages\page_01.nc,C:\plotter_pdf\Начерт\4 варинт\Задача 6_pack\pages\page_01.gcode,C:\plotter_pdf\Начерт\4 варинт\Задача 6_pack\pages\page_01.pdf,C:\plotter_pdf\Начерт\4 варинт\Задача 6_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.193650; source_crop_corr=0.129299; detail_scale=1.0; frame_scale_x=0.9672; frame_scale_y=0.9787; header_scale_x=0.9672; header_scale_y=0.9787; header_content_paths=26; header_text_paths=0; header_thumb_target_w=38.25; header_text_scale=0.9672; detail_bbox=147.08x216.25 mm; condition_images_recovered=0; point_boxes_replaced=0; title_block_text_lines=0; title_block_text_rendered=0; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Начерт\4 варинт\_generated_pdf\Задача 7.pdf,C:\plotter_pdf\Начерт\4 варинт\Задача 7_pack,drawing,pass_01,True,,a3_two_pass_clean_source,0.984303,0.926736,6.848,1487,476,131,69,"0.000..180.000 x, -272.323..-17.677 y",C:\plotter_pdf\Начерт\4 варинт\Задача 7_pack\pages\pass_01.nc,C:\plotter_pdf\Начерт\4 варинт\Задача 7_pack\pages\pass_01.gcode,C:\plotter_pdf\Начерт\4 варинт\Задача 7_pack\pages\pass_01.pdf,C:\plotter_pdf\Начерт\4 варинт\Задача 7_pack\pages\pass_01.svg,scale=0.8781; clipping=True; source_cleanup=direct_pdf_svg; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Начерт\4 варинт\_generated_pdf\Задача 7.pdf,C:\plotter_pdf\Начерт\4 варинт\Задача 7_pack,drawing,pass_02,True,,a3_two_pass_clean_source,0.984303,0.926736,4.243,1235,373,61,34,"0.000..180.000 x, -269.323..-14.677 y",C:\plotter_pdf\Начерт\4 варинт\Задача 7_pack\pages\pass_02.nc,C:\plotter_pdf\Начерт\4 варинт\Задача 7_pack\pages\pass_02.gcode,C:\plotter_pdf\Начерт\4 варинт\Задача 7_pack\pages\pass_02.pdf,C:\plotter_pdf\Начерт\4 варинт\Задача 7_pack\pages\pass_02.svg,scale=0.8781; clipping=True; source_cleanup=direct_pdf_svg; left_strip_removed=True; outer_border_removed=True; pass_02_rotated_180_for_sheet_flip=True
C:\plotter_pdf\Начерт\4 варинт\_generated_pdf\Задача 8.pdf,C:\plotter_pdf\Начерт\4 варинт\Задача 8_pack,drawing,page_01,True,0.968463,a4_hybrid_frame,0.929724,0.970305,10.674,7274,1022,51,6,"0.000..180.000 x, -285.000..-5.000 y",C:\plotter_pdf\Начерт\4 варинт\Задача 8_pack\pages\page_01.nc,C:\plotter_pdf\Начерт\4 варинт\Задача 8_pack\pages\page_01.gcode,C:\plotter_pdf\Начерт\4 варинт\Задача 8_pack\pages\page_01.pdf,C:\plotter_pdf\Начерт\4 варинт\Задача 8_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.227540; source_crop_corr=0.114674; detail_scale=1.0; frame_scale_x=0.9672; frame_scale_y=0.9787; header_scale_x=0.9672; header_scale_y=0.9787; header_content_paths=24; header_text_paths=0; header_thumb_target_w=38.25; header_text_scale=0.9672; detail_bbox=169.14x214.27 mm; condition_images_recovered=0; point_boxes_replaced=11; title_block_text_lines=0; title_block_text_rendered=0; left_strip_removed=True; outer_border_removed=True
