source_pdf,package_dir,kind,item,ok,layout_similarity,draw_length_m,segments_total,bounds,nc,gcode,preview_pdf,preview_svg,notes
C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_01,True,0.933218,8.525,14754,"0.000..180.000 x, -285.871..-24.208 y",C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_01.nc,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_01.gcode,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_01.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_01.svg,font=Marck Script
C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_02,True,0.971522,2.973,4900,"1.481..178.501 x, -294.968..-15.122 y",C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_02.nc,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_02.gcode,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_02.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_02.svg,font=Marck Script
C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_03,True,0.971786,1.9,3688,"0.107..180.000 x, -284.327..-25.788 y",C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_03.nc,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_03.gcode,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_03.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_03.svg,font=Marck Script
C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_04,True,0.94518,3.166,2467,"0.000..180.000 x, -289.723..-20.410 y",C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_04.nc,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_04.gcode,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_04.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_04.svg,font=Marck Script
C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_05,True,0.957799,4.202,2958,"0.000..180.000 x, -293.960..-16.040 y",C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_05.nc,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_05.gcode,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_05.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_05.svg,font=Marck Script
C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_06,True,0.943884,3.128,4737,"0.133..179.981 x, -280.582..-29.418 y",C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_06.nc,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_06.gcode,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_06.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_06.svg,font=Marck Script
C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_07,True,0.938504,4.0,6578,"0.000..180.000 x, -264.551..-45.456 y",C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_07.nc,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_07.gcode,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_07.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_07.svg,font=Marck Script
C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_08,True,0.944584,3.407,4352,"0.000..180.000 x, -285.423..-24.520 y",C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_08.nc,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_08.gcode,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_08.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_08.svg,font=Marck Script
C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_09,True,0.979023,1.558,1700,"0.000..180.000 x, -258.794..-51.265 y",C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_09.nc,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_09.gcode,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_09.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_09.svg,font=Marck Script
C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_10,True,0.98116,1.629,1415,"0.065..180.000 x, -293.176..-16.937 y",C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_10.nc,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_10.gcode,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_10.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_10.svg,font=Marck Script
C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_11,True,0.955623,6.761,10891,"0.000..180.000 x, -284.147..-25.948 y",C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_11.nc,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_11.gcode,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_11.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_14_pack\pages\page_11.svg,font=Marck Script
