source_pdf,package_dir,kind,item,ok,layout_similarity,draw_length_m,segments_total,bounds,nc,gcode,preview_pdf,preview_svg,notes
C:\plotter_pdf\1\Задача 7.pdf,C:\plotter_pdf\1\Задача 7_pack,drawing,pass_01,True,,14.182,3681,"0.000..180.000 x, -295.000..-15.024 y",C:\plotter_pdf\1\Задача 7_pack\pages\pass_01.nc,C:\plotter_pdf\1\Задача 7_pack\pages\pass_01.gcode,C:\plotter_pdf\1\Задача 7_pack\pages\pass_01.pdf,C:\plotter_pdf\1\Задача 7_pack\pages\pass_01.svg,scale=1.0; clipping=True; source_cleanup=method3; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\1\Задача 7.pdf,C:\plotter_pdf\1\Задача 7_pack,drawing,pass_02,True,,10.493,1561,"0.000..180.000 x, -295.000..-15.000 y",C:\plotter_pdf\1\Задача 7_pack\pages\pass_02.nc,C:\plotter_pdf\1\Задача 7_pack\pages\pass_02.gcode,C:\plotter_pdf\1\Задача 7_pack\pages\pass_02.pdf,C:\plotter_pdf\1\Задача 7_pack\pages\pass_02.svg,scale=1.0; clipping=True; source_cleanup=method3; left_strip_removed=True; outer_border_removed=True; pass_02_rotated_180_for_sheet_flip=True
