source_pdf,package_dir,kind,item,ok,layout_similarity,draw_length_m,segments_total,bounds,nc,gcode,preview_pdf,preview_svg,notes
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_01,True,0.963162,8.281,12589,"0.000..180.000 x, -288.158..-21.962 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_01.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_01.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_01.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_01.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.360479
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_02,True,0.974879,4.878,7969,"0.045..180.000 x, -292.936..-17.032 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_02.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_02.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_02.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_02.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.334508
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_03,True,0.978559,5.099,6743,"0.078..180.000 x, -293.938..-16.170 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_03.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_03.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_03.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_03.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.325108
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_04,True,0.984221,5.257,5470,"0.000..180.000 x, -283.774..-26.241 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_04.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_04.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_04.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_04.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.437863
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_05,True,0.975114,5.046,7201,"0.000..180.000 x, -266.978..-43.022 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_05.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_05.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_05.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_05.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.395973
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_06,True,0.975199,7.946,18242,"0.000..180.000 x, -292.001..-17.999 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_06.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_06.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_06.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_06.svg,font=Marck Script; variant=raster_safe; contours=always; page_override=yes; fallback=raster_rewrite_handdraw; body_font=Marck Script; formula_font=Times New Roman; variant=raster_safe; iou=0.437949
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_07,True,0.98142,4.507,4231,"3.298..176.598 x, -295.000..-15.000 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_07.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_07.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_07.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_07.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.380555
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_08,True,0.970281,5.013,7171,"0.000..180.000 x, -285.703..-24.279 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_08.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_08.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_08.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_08.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.255887
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_09,True,0.985444,3.252,6611,"0.000..180.000 x, -256.293..-53.707 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_09.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_09.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_09.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_09.svg,font=Marck Script; variant=raster_safe; contours=always; page_override=yes; fallback=raster_rewrite_handdraw; body_font=Marck Script; formula_font=Times New Roman; variant=raster_safe; iou=0.457388
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_10,True,0.94439,2.649,4581,"0.000..180.000 x, -185.961..-124.039 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_10.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_10.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_10.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_26_pack\pages\page_10.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.301890
