source_pdf,package_dir,kind,item,ok,layout_similarity,selected_variant,source_fidelity_score,fragmentation_score,draw_length_m,segments_total,pen_down_strokes,tiny_strokes_lt_08_mm,point_like_strokes,bounds,nc,gcode,preview_pdf,preview_svg,notes
C:\plotter_pdf\Компьютерная графика\20 вариант\КНГ.01.22.01 - Маховик.pdf,C:\plotter_pdf\Компьютерная графика\20 вариант\КНГ.01.22.01 - Маховик_pack,drawing,page_01,True,0.94875,mupdf_svg_paths,0.9108,0.825286,7.704,2304,1275,438,252,"0.000..180.000 x, -285.000..-5.000 y",C:\plotter_pdf\Компьютерная графика\20 вариант\КНГ.01.22.01 - Маховик_pack\pages\page_01.nc,C:\plotter_pdf\Компьютерная графика\20 вариант\КНГ.01.22.01 - Маховик_pack\pages\page_01.gcode,C:\plotter_pdf\Компьютерная графика\20 вариант\КНГ.01.22.01 - Маховик_pack\pages\page_01.pdf,C:\plotter_pdf\Компьютерная графика\20 вариант\КНГ.01.22.01 - Маховик_pack\pages\page_01.svg,variant=mupdf_svg_paths; scale=0.972991; clipping=False; source_crop_iou=0.226337; source_crop_corr=0.183144; source_cleanup=direct_pdf_svg; mupdf_svg_paths=True; kompas_source_page_fit_disabled=True; work_area_frame=full; kompas_source_text_preserved=True; kompas_text_lines=0; kompas_text_rendered=0; kompas_clean_bbox_scale=0.972991; clipped_segments=0
C:\plotter_pdf\Компьютерная графика\20 вариант\Корпус аксонометрическая  проекция МЧ00.52.00.01.pdf,C:\plotter_pdf\Компьютерная графика\20 вариант\Корпус аксонометрическая  проекция МЧ00.52.00.01_pack,drawing,page_01,True,0.94655,mupdf_svg_paths,0.908688,0.863361,6.259,1692,793,241,186,"0.000..180.000 x, -285.000..-5.000 y",C:\plotter_pdf\Компьютерная графика\20 вариант\Корпус аксонометрическая  проекция МЧ00.52.00.01_pack\pages\page_01.nc,C:\plotter_pdf\Компьютерная графика\20 вариант\Корпус аксонометрическая  проекция МЧ00.52.00.01_pack\pages\page_01.gcode,C:\plotter_pdf\Компьютерная графика\20 вариант\Корпус аксонометрическая  проекция МЧ00.52.00.01_pack\pages\page_01.pdf,C:\plotter_pdf\Компьютерная графика\20 вариант\Корпус аксонометрическая  проекция МЧ00.52.00.01_pack\pages\page_01.svg,variant=mupdf_svg_paths; scale=0.972991; clipping=False; source_crop_iou=0.179868; source_crop_corr=0.147451; source_cleanup=direct_pdf_svg; mupdf_svg_paths=True; kompas_source_page_fit_disabled=True; work_area_frame=full; kompas_source_text_preserved=True; kompas_text_lines=0; kompas_text_rendered=0; kompas_clean_bbox_scale=0.972991; clipped_segments=0
C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.00 Клапан.pdf,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.00 Клапан_pack,drawing,page_01,True,0.92318,mupdf_svg_paths,0.886253,0.822745,12.444,4098,2037,681,409,"0.000..180.000 x, -285.000..-5.000 y",C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.00 Клапан_pack\pages\page_01.nc,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.00 Клапан_pack\pages\page_01.gcode,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.00 Клапан_pack\pages\page_01.pdf,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.00 Клапан_pack\pages\page_01.svg,variant=mupdf_svg_paths; scale=0.972991; clipping=False; source_crop_iou=0.229130; source_crop_corr=0.111744; source_cleanup=direct_pdf_svg; mupdf_svg_paths=True; kompas_source_page_fit_disabled=True; work_area_frame=full; kompas_source_text_preserved=True; kompas_text_lines=0; kompas_text_rendered=0; kompas_clean_bbox_scale=0.972991; clipped_segments=0
C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.00 СБ Клапан.pdf,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.00 СБ Клапан_pack,drawing,pass_01,True,,a3_two_pass_clean_source,0.96613,0.830797,7.77,2088,1364,322,181,"0.000..170.101 x, -280.461..-9.539 y",C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.00 СБ Клапан_pack\pages\pass_01.nc,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.00 СБ Клапан_pack\pages\pass_01.gcode,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.00 СБ Клапан_pack\pages\pass_01.pdf,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.00 СБ Клапан_pack\pages\pass_01.svg,scale=0.9122; clipping=True; source_cleanup=direct_pdf_svg; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.00 СБ Клапан.pdf,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.00 СБ Клапан_pack,drawing,pass_02,True,,a3_two_pass_clean_source,0.96613,0.830797,5.01,1640,770,238,173,"0.000..176.237 x, -272.904..-7.765 y",C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.00 СБ Клапан_pack\pages\pass_02.nc,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.00 СБ Клапан_pack\pages\pass_02.gcode,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.00 СБ Клапан_pack\pages\pass_02.pdf,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.00 СБ Клапан_pack\pages\pass_02.svg,scale=0.9122; clipping=True; source_cleanup=direct_pdf_svg; left_strip_removed=True; outer_border_removed=True; pass_02_rotated_180_for_sheet_flip=True
C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.01 Корпус.pdf,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.01 Корпус_pack,drawing,pass_01,True,,a3_two_pass_clean_source,0.971074,0.856006,4.519,1388,712,140,99,"0.000..180.000 x, -276.977..-78.895 y",C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.01 Корпус_pack\pages\pass_01.nc,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.01 Корпус_pack\pages\pass_01.gcode,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.01 Корпус_pack\pages\pass_01.pdf,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.01 Корпус_pack\pages\pass_01.svg,scale=0.9196; clipping=True; source_cleanup=direct_pdf_svg; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.01 Корпус.pdf,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.01 Корпус_pack,drawing,pass_02,True,,a3_two_pass_clean_source,0.971074,0.856006,3.683,1227,660,218,158,"0.000..180.000 x, -273.977..-29.489 y",C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.01 Корпус_pack\pages\pass_02.nc,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.01 Корпус_pack\pages\pass_02.gcode,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.01 Корпус_pack\pages\pass_02.pdf,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.01 Корпус_pack\pages\pass_02.svg,scale=0.9196; clipping=True; source_cleanup=direct_pdf_svg; left_strip_removed=True; outer_border_removed=True; pass_02_rotated_180_for_sheet_flip=True
C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.02 Крышка.pdf,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.02 Крышка_pack,drawing,page_01,True,0.940906,mupdf_svg_paths,0.90327,0.840475,9.138,2052,1111,335,246,"0.000..180.000 x, -285.000..-5.000 y",C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.02 Крышка_pack\pages\page_01.nc,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.02 Крышка_pack\pages\page_01.gcode,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.02 Крышка_pack\pages\page_01.pdf,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.02 Крышка_pack\pages\page_01.svg,variant=mupdf_svg_paths; scale=0.972991; clipping=False; source_crop_iou=0.216041; source_crop_corr=0.136274; source_cleanup=direct_pdf_svg; mupdf_svg_paths=True; kompas_source_page_fit_disabled=True; work_area_frame=full; kompas_source_text_preserved=True; kompas_text_lines=0; kompas_text_rendered=0; kompas_clean_bbox_scale=0.972991; clipped_segments=0
C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.03 Штуцер.pdf,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.03 Штуцер_pack,drawing,page_01,True,0.940609,mupdf_svg_paths,0.902985,0.847204,8.125,2079,1045,328,237,"0.000..180.000 x, -285.000..-5.000 y",C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.03 Штуцер_pack\pages\page_01.nc,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.03 Штуцер_pack\pages\page_01.gcode,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.03 Штуцер_pack\pages\page_01.pdf,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.03 Штуцер_pack\pages\page_01.svg,variant=mupdf_svg_paths; scale=0.972991; clipping=False; source_crop_iou=0.193870; source_crop_corr=0.126463; source_cleanup=direct_pdf_svg; mupdf_svg_paths=True; kompas_source_page_fit_disabled=True; work_area_frame=full; kompas_source_text_preserved=True; kompas_text_lines=0; kompas_text_rendered=0; kompas_clean_bbox_scale=0.972991; clipped_segments=0
C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.04 Фланец.pdf,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.04 Фланец_pack,drawing,page_01,True,0.952638,mupdf_svg_paths,0.914532,0.839513,6.183,1813,885,311,228,"0.000..180.000 x, -285.000..-5.000 y",C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.04 Фланец_pack\pages\page_01.nc,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.04 Фланец_pack\pages\page_01.gcode,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.04 Фланец_pack\pages\page_01.pdf,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.04 Фланец_pack\pages\page_01.svg,variant=mupdf_svg_paths; scale=0.972991; clipping=False; source_crop_iou=0.202067; source_crop_corr=0.170646; source_cleanup=direct_pdf_svg; mupdf_svg_paths=True; kompas_source_page_fit_disabled=True; work_area_frame=full; kompas_source_text_preserved=True; kompas_text_lines=0; kompas_text_rendered=0; kompas_clean_bbox_scale=0.972991; clipped_segments=0
C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.05 Маховичок.pdf,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.05 Маховичок_pack,drawing,page_01,True,0.947837,mupdf_svg_paths,0.909924,0.841206,6.857,1843,941,305,233,"0.000..180.000 x, -285.000..-5.000 y",C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.05 Маховичок_pack\pages\page_01.nc,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.05 Маховичок_pack\pages\page_01.gcode,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.05 Маховичок_pack\pages\page_01.pdf,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.05 Маховичок_pack\pages\page_01.svg,variant=mupdf_svg_paths; scale=0.972991; clipping=False; source_crop_iou=0.178258; source_crop_corr=0.155211; source_cleanup=direct_pdf_svg; mupdf_svg_paths=True; kompas_source_page_fit_disabled=True; work_area_frame=full; kompas_source_text_preserved=True; kompas_text_lines=0; kompas_text_rendered=0; kompas_clean_bbox_scale=0.972991; clipped_segments=0
C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.06 Шпиндель.pdf,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.06 Шпиндель_pack,drawing,page_01,True,0.959181,mupdf_svg_paths,0.920814,0.820826,5.386,1661,884,321,241,"0.000..180.000 x, -285.000..-5.000 y",C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.06 Шпиндель_pack\pages\page_01.nc,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.06 Шпиндель_pack\pages\page_01.gcode,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.06 Шпиндель_pack\pages\page_01.pdf,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.06 Шпиндель_pack\pages\page_01.svg,variant=mupdf_svg_paths; scale=0.972991; clipping=False; source_crop_iou=0.207860; source_crop_corr=0.180770; source_cleanup=direct_pdf_svg; mupdf_svg_paths=True; kompas_source_page_fit_disabled=True; work_area_frame=full; kompas_source_text_preserved=True; kompas_text_lines=0; kompas_text_rendered=0; kompas_clean_bbox_scale=0.972991; clipped_segments=0
C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.07 Втулка.pdf,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.07 Втулка_pack,drawing,page_01,True,0.956404,mupdf_svg_paths,0.918148,0.824873,6.372,1479,832,282,209,"0.000..180.000 x, -285.000..-5.000 y",C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.07 Втулка_pack\pages\page_01.nc,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.07 Втулка_pack\pages\page_01.gcode,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.07 Втулка_pack\pages\page_01.pdf,C:\plotter_pdf\Компьютерная графика\20 вариант\МЧ00.52.00.07 Втулка_pack\pages\page_01.svg,variant=mupdf_svg_paths; scale=0.972991; clipping=False; source_crop_iou=0.231811; source_crop_corr=0.185202; source_cleanup=direct_pdf_svg; mupdf_svg_paths=True; kompas_source_page_fit_disabled=True; work_area_frame=full; kompas_source_text_preserved=True; kompas_text_lines=0; kompas_text_rendered=0; kompas_clean_bbox_scale=0.972991; clipped_segments=0
