page,status,preprocess,outer_trim_removed,fit_scale,draw_length_m,gcode_lines,gcode_draw,gcode_travel,gcode_bounds
6,ok,"left_crop_20.5mm + mask(x<64mm, y>236mm)",1,0.9743,2.89,3673,3272,133,"0.000..180.000 x, -292.754..0.000 y"
7,ok,"left_crop_20.5mm + mask(x<64mm, y>236mm)",1,0.9743,5.07,5679,5119,186,"0.000..180.000 x, -292.754..0.000 y"
8,ok,"left_crop_20.5mm + mask(x<64mm, y>236mm)",1,0.9743,5.55,6062,5487,191,"0.000..180.000 x, -292.742..0.000 y"
9,ok,"left_crop_20.5mm + mask(x<64mm, y>236mm)",1,0.9743,5.66,6960,6310,216,"0.000..180.000 x, -292.784..0.000 y"
10,ok,"left_crop_20.5mm + mask(x<64mm, y>236mm)",1,0.9743,5.90,6571,5969,200,"0.000..180.000 x, -292.755..0.000 y"
11,ok,"left_crop_20.5mm + mask(x<64mm, y>236mm)",1,0.9743,3.41,4126,3704,140,"0.000..180.000 x, -292.784..0.000 y"
12,ok,"left_crop_20.5mm + mask(x<64mm, y>236mm)",1,0.9743,4.01,4311,3862,149,"0.000..180.000 x, -292.748..0.000 y"
