source_pdf,package_dir,kind,item,ok,layout_similarity,draw_length_m,segments_total,bounds,nc,gcode,preview_pdf,preview_svg,notes
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_01,True,0.948521,9.169,13338,"0.069..179.853 x, -294.897..-15.000 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_01.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_01.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_01.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_01.svg,font=Neucha; variant=always; contours=always; page_override=no; reused_existing; iou=0.490265
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_02,True,0.972264,4.138,5140,"0.421..179.557 x, -294.974..-15.000 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_02.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_02.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_02.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_02.svg,font=Neucha; variant=always; contours=always; page_override=no; reused_existing; iou=0.373279
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_03,True,0.976772,3.972,10647,"0.000..180.000 x, -259.869..-50.131 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_03.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_03.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_03.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_03.svg,font=Neucha; variant=raster_safe; contours=always; page_override=yes; fallback=raster_rewrite_handdraw; variant=raster_safe; iou=0.292402
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_04,True,0.960842,6.605,11043,"5.780..174.220 x, -295.000..-15.000 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_04.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_04.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_04.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_04.svg,font=Neucha; variant=raster_safe; contours=always; page_override=yes; fallback=raster_rewrite_handdraw; variant=raster_safe; iou=0.365947
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_05,True,0.98736,3.783,8019,"0.000..180.000 x, -293.257..-16.743 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_05.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_05.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_05.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_05.svg,font=Neucha; variant=raster_safe; contours=always; page_override=yes; fallback=raster_rewrite_handdraw; variant=raster_safe; iou=0.411523
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_06,True,0.945248,7.518,13237,"0.000..180.000 x, -263.936..-46.064 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_06.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_06.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_06.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_06.svg,font=Neucha; variant=raster_safe; contours=always; page_override=yes; fallback=raster_rewrite_handdraw; variant=raster_safe; iou=0.292848
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_07,True,0.95172,9.219,17077,"0.000..180.000 x, -292.430..-17.570 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_07.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_07.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_07.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_07.svg,font=Neucha; variant=raster_safe; contours=always; page_override=yes; fallback=raster_rewrite_handdraw; variant=raster_safe; iou=0.408321
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_08,True,0.951754,6.815,10698,"0.000..180.000 x, -259.351..-50.649 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_08.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_08.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_08.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_08.svg,font=Neucha; variant=raster_safe; contours=always; page_override=yes; fallback=raster_rewrite_handdraw; variant=raster_safe; iou=0.453054
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_09,True,0.981801,3.951,4527,"1.047..178.897 x, -294.940..-15.000 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_09.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_09.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_09.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_09.svg,font=Neucha; variant=always; contours=always; page_override=no; reused_existing; iou=0.471344
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_10,True,0.981001,3.36,4524,"0.000..179.967 x, -249.385..-60.583 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_10.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_10.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_10.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_10.svg,font=Neucha; variant=always; contours=always; page_override=no; reused_existing; iou=0.360223
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_11,True,0.989607,2.345,3446,"0.000..180.000 x, -244.187..-65.813 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_11.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_11.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_11.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_11.svg,font=Neucha; variant=raster_safe; contours=always; page_override=yes; fallback=raster_rewrite_handdraw; variant=raster_safe; iou=0.369983
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_12,True,0.956593,2.501,5972,"0.000..180.000 x, -188.934..-121.066 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_12.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_12.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_12.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_12.svg,font=Neucha; variant=raster_safe; contours=always; page_override=yes; fallback=raster_rewrite_handdraw; variant=raster_safe; iou=0.353459
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_13,True,0.965697,11.144,16284,"0.000..180.000 x, -293.744..-16.242 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_13.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_13.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_13.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_13.svg,font=Neucha; variant=always; contours=always; page_override=no; reused_existing; iou=0.552259
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_14,True,0.977105,6.493,14950,"3.342..176.658 x, -295.000..-15.000 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_14.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_14.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_14.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_14.svg,font=Neucha; variant=raster_safe; contours=always; page_override=yes; fallback=raster_rewrite_handdraw; variant=raster_safe; iou=0.293583
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_15,True,0.966786,2.229,4955,"0.000..180.000 x, -195.781..-114.219 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_15.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_15.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_15.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_15.svg,font=Neucha; variant=raster_safe; contours=always; page_override=yes; fallback=raster_rewrite_handdraw; variant=raster_safe; iou=0.281952
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_16,True,0.966809,6.557,9058,"1.046..178.938 x, -294.997..-15.258 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_16.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_16.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_16.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_16.svg,font=Neucha; variant=always; contours=always; page_override=no; reused_existing; iou=0.327282
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_17,True,0.97392,10.0,19175,"0.000..180.000 x, -294.437..-15.563 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_17.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_17.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_17.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_17.svg,font=Neucha; variant=raster_safe; contours=always; page_override=yes; fallback=raster_rewrite_handdraw; variant=raster_safe; iou=0.411152
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack,toe_handwriting,page_18,True,0.973388,5.178,5613,"0.000..179.955 x, -259.136..-50.786 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_18.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_18.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_18.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_14_pack\pages\page_18.svg,font=Neucha; variant=always; contours=always; page_override=no; reused_existing; iou=0.343817
